Name,Start,End
TripYear,8,11
Quarter,12,12
TripID,13,14
TripType,15,16
OrigProv,30,31
DestCoun,32,36
DestProv,37,38
DestRegion,39,42
DestCMA,43,46
Distance,47,51
Duration,57,59
Reason,66,67
AgeGroup,68,69
Gender,70,70
IncomeGroup,71,71
AdultOnTrip,72,73
ChildOnTrip,74,75
MainTrans,78,79
EntryProv,80,81
EntryPort,82,86
CarrierOrig,87,91
ReturnTransMode,92,92
TravelPackage,93,93
PackageCostDom,157,162
PackageCostInter,163,168
SpendComTransCan,175,180
SpendLocTransCan,181,186
SpendRentalVehCan,187,192
SpendGasRepairCan,193,198
SpendAccomCan,199,204
SpendFBResCan,205,210
SpendFBStoCan,211,216
SpendRecCan,217,222
SpendEntCan,223,228
SpendAppeCan,229,234
SpendingOtherCan,235,240
FareTransIOCan,248,253
FareTransBetCountries,254,259
SpendComTrans,260,265
SpendRentalVeh,266,271
SpendGasRepair,272,277
SpendAccom,278,283
SpendFBRes,284,289
SpendFBSto,290,295
SpendRec,296,301
SpendEnt,302,307
SpendAppe,308,313
SpendingOther,314,319
DurationMainDes,327,327
NumbCityStayCan,328,329
MultiCountStay,330,330
NumbCountStay,331,332
NumbStatesStay,333,334
NightOutsideCan,335,335
TotalSpendCan,241,247
TotalSpendOut,320,326
ActVisitF,354,354
ActShopping,355,355
ActSightseeing,356,356
ActMuseum,357,357
ActHisSite,358,358
ActZoo,359,359
ActSport,360,360
ActFestival,361,361
ActPerformance,362,362
ActCasino,363,363
ActThemePark,364,364
ActAboEvent,365,365
ActMovie,366,366
ActDineout,367,367
ActWildlifeView,368,368
ActNationalPark,369,369
ActMedical,370,370
ActBusiness,371,371
ActAllTerrainVehical,372,372
ActBoating,373,373
ActCanoeing,374,374
ActCamping,375,375
ActHiking,376,376
ActFishing,377,377
ActBeach,378,378
ActHunting,379,379
ActGolfing,380,380
ActCycling,381,381
ActSnowmobiling,382,382
ActSkiingDownhill,383,383
ActSkiingCrossCountry,384,384
ActPlaySport,385,385
ActOther,386,386
ActNone,387,387
PersonTripWeight,388,399
TripWeight,400,411
